arm	knob	O	h	c	K	pattern	ceff_gib	floor_gib	ublk_gib	upage_gib	x_ublk_over_ceff	mig_gib	htod_gib	dtoh_gib	time_s	amblkhtod	csv
H	0.978	1.5	0.978	0	1	rand	15.6080	14.8003	15.6484	14.0780	1.00259	195.7430	105.2395	90.5035	23.8555	6.7252	Tesla P100-PCIE-16GB,plain,1.500,0.9780,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.648,6291456,4102029,180,2,1,9437184,9,47.7814,23.8555,23.8555,23.8555,0.40,0.01,14.0780,15.6484,15.6484,0,0,0.0000,0.0000,105.2395,90.5035,195.7430,13.9042,7.4755,12.5091,6.7254,12.5088,6.7252,21217.0,0.0,0.0,0.0,0.0,per_iter
H	0.980	1.5	0.980	0	1	rand	15.6080	14.8003	15.6816	14.1013	1.00472	344.1377	179.1192	165.0185	45.7484	11.4222	Tesla P100-PCIE-16GB,plain,1.500,0.9800,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.680,6291456,4110417,164,2,1,9437184,9,91.2631,45.7484,45.7484,45.7484,0.21,0.00,14.1013,15.6816,15.6816,0,0,0.0000,0.0000,179.1192,165.0185,344.1377,24.4047,12.7023,21.9475,11.4234,21.9453,11.4222,33046.0,0.0,0.0,0.0,0.0,per_iter
H	0.982	1.5	0.982	0	1	rand	15.6080	14.8003	15.7129	14.1198	1.00672	482.7953	248.0790	234.7163	58.1321	15.7882	Tesla P100-PCIE-16GB,plain,1.500,0.9820,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.712,6291456,4118806,147,2,1,9437184,9,116.2272,58.1321,58.1321,58.1321,0.16,0.00,14.1198,15.7129,15.7129,0,0,0.0000,0.0000,248.0790,234.7163,482.7953,34.1927,17.5696,30.7277,15.7891,30.7261,15.7882,38961.0,0.0,0.0,0.0,0.0,per_iter
H	0.984	1.5	0.984	0	1	rand	15.6080	14.8003	15.7441	14.1407	1.00872	613.4081	313.0881	300.3200	72.6889	19.8860	Tesla P100-PCIE-16GB,plain,1.500,0.9840,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.744,6291456,4127195,131,2,1,9437184,9,145.1580,72.6889,72.6889,72.6889,0.13,0.00,14.1407,15.7441,15.7441,0,0,0.0000,0.0000,313.0881,300.3200,613.4081,43.3789,22.1409,38.9613,19.8862,38.9610,19.8860,77620.0,0.0,0.0,0.0,0.0,per_iter
C	0.000	1.5	0.90	0.000	1	rand	15.6080	14.8003	14.4004	13.2159	0.92263	14.4004	14.4004	0.0000	2.3071	1.0000	Tesla P100-PCIE-16GB,plain,1.500,0.9000,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,14.400,6291456,3774873,819,2,1,9437184,9,4.6238,2.3071,2.3071,2.3071,4.09,0.07,13.2159,14.4004,14.4004,0,0,0.0000,0.0000,14.4004,0.0000,14.4004,1.0896,1.0896,1.0000,1.0000,1.0000,1.0000,1166.0,0.0,0.0,0.0,0.0,per_iter
C	0.002	1.5	0.90	0.002	1	rand	15.6080	14.8003	23.7715	13.2820	1.52303	556.3127	284.1233	272.1894	72.0703	11.9523	Tesla P100-PCIE-16GB,plain,1.500,0.9000,0.00200,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,14.400,6291456,3774873,819,2,1,9437184,9,144.0927,72.0703,72.0703,72.0703,0.13,0.00,13.2820,23.7715,23.7715,19027,4798,9.3711,5.8569,284.1233,272.1894,556.3127,41.8847,21.3916,35.9070,18.3386,23.4025,11.9523,41924.0,0.0,0.0,0.0,0.0,per_iter
C	0.005	1.5	0.90	0.005	1	rand	15.6080	14.8003	23.9980	13.3794	1.53754	978.1116	493.9719	484.1397	116.6074	20.5838	Tesla P100-PCIE-16GB,plain,1.500,0.9000,0.00500,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,14.400,6291456,3774873,819,2,1,9437184,9,233.2861,116.6074,116.6074,116.6074,0.08,0.00,13.3794,23.9980,23.9980,47266,4915,9.5996,5.9997,493.9719,484.1397,978.1116,73.1056,36.9203,57.9259,29.2541,40.7580,20.5838,53046.0,0.0,0.0,0.0,0.0,per_iter
C	0.010	1.5	0.90	0.010	1	rand	15.6080	14.8003	24.0000	13.5391	1.53767	1330.2037	669.2101	660.9936	159.0007	27.8838	Tesla P100-PCIE-16GB,plain,1.500,0.9000,0.01000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,14.400,6291456,3774873,819,2,1,9437184,9,318.1784,159.0007,159.0007,159.0007,0.06,0.00,13.5391,24.0000,24.0000,94312,4916,9.6016,6.0010,669.2101,660.9936,1330.2037,98.2492,49.4280,71.0332,35.7360,55.4252,27.8838,61837.0,0.0,0.0,0.0,0.0,per_iter
C	0.020	1.5	0.90	0.020	1	rand	15.6080	14.8003	24.0000	13.8503	1.53767	1592.8174	799.5643	793.2531	193.8551	33.3152	Tesla P100-PCIE-16GB,plain,1.500,0.9000,0.02000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,14.400,6291456,3774873,819,2,1,9437184,9,387.6811,193.8551,193.8551,193.8551,0.05,0.00,13.8503,24.0000,24.0000,189058,4916,9.6016,6.0010,799.5643,793.2531,1592.8174,115.002,57.7292,75.4520,37.8755,66.3674,33.3152,65740.0,0.0,0.0,0.0,0.0,per_iter
C	0.050	1.5	0.90	0.050	1	rand	15.6080	14.8003	24.0000	14.7014	1.53767	1539.5500	771.9808	767.5692	244.8661	32.1659	Tesla P100-PCIE-16GB,plain,1.500,0.9000,0.05000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,14.400,6291456,3774873,819,2,1,9437184,9,488.8245,244.8661,244.8661,244.8661,0.04,0.00,14.7014,24.0000,24.0000,472306,4916,9.6016,6.0010,771.9808,767.5692,1539.5500,104.721,52.5108,65.4548,32.8212,64.1479,32.1659,77413.0,0.0,0.0,0.0,0.0,per_iter
